"Story","Title","Result","Date","Stability","Duration (s)"
"Users CRUD test","This will create a user","SUCCESS","2022-06-07T12:56:31.446+02:00[Europe/Paris]","0.0","3.62"
"Users CRUD test","This will login a user","SUCCESS","2022-06-07T12:56:35.355+02:00[Europe/Paris]","0.0","0.14"
"Users CRUD test","This will update a user by PUT","SUCCESS","2022-06-07T12:56:35.499+02:00[Europe/Paris]","0.0","0.14"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T12:56:35.639+02:00[Europe/Paris]","0.0","0.16"
"Users CRUD test","This will update a user by Patch","SUCCESS","2022-06-07T12:56:35.795+02:00[Europe/Paris]","0.0","0.12"
"Users CRUD test","1. This will verify if Page = 2","SUCCESS","2022-06-07T12:56:35.918+02:00[Europe/Paris]","0.0","0.11"
"Users CRUD test","2. This will if verify Per_page = 6","SUCCESS","2022-06-07T12:56:36.027+02:00[Europe/Paris]","0.0","0.09"
"Users CRUD test","3. This will if verify second data id = 8","SUCCESS","2022-06-07T12:56:36.115+02:00[Europe/Paris]","0.0","0.14"
"Users CRUD test","4. This will if verify forth data first_name = Byron","SUCCESS","2022-06-07T12:56:36.253+02:00[Europe/Paris]","0.0","0.07"
"Users CRUD test","5. This will if verify list of data = 6","SUCCESS","2022-06-07T12:56:36.322+02:00[Europe/Paris]","0.0","0.07"
"Users CRUD test","6. This will if verify fifth data avatar=https://reqres.in/img/faces/12-image.jpg","SUCCESS","2022-06-07T12:56:36.397+02:00[Europe/Paris]","0.0","0.09"
"Users CRUD test","7. This will if verify support.url =https://reqres.in/#support-heading","SUCCESS","2022-06-07T12:56:36.487+02:00[Europe/Paris]","0.0","0.1"
"Users CRUD test","8. This will if verify support.text = To keep ReqRes free, contributions towards server costs are appreciated!","SUCCESS","2022-06-07T12:56:36.592+02:00[Europe/Paris]","0.0","0.09"
